BHK,project,Location,City,Total sqft,price_sqft,price
3 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,984,"31,000",3.05 Cr
2 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,598,"23,913",1.42 Cr
2 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,738,"21,000",1.54 Cr
3 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,644,"10,676",68.75 L
2 BHK Apartment,Mayfair The ViewVikhroli,Vikhroli,Mumbai,582,"24,914",1.45 Cr
2 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,427,"5,756",24.58 L
3 BHK Apartment,Jewel CrestMahim,Mahim,Mumbai,1130,"42,477",4.8 Cr
2 BHK Apartment,Aplite Greenstone HeritageFort,Fort,Mumbai,671,"40,536",2.72 Cr
3 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,917,"10,359",95 L
1 BHK Independent House,VBHC 47 Rowland ParkPalghar,Palghar,Mumbai,701,"3,894",27.3 L
1 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,387,"22,800",88.23 L
1 BHK Apartment,A Plus Golden VanVangani,Vangani,Mumbai,417,"2,578",10.75 L
1 BHK Apartment,Lashkaria PearlJogeshwari West,Jogeshwari West,Mumbai,333,"22,522",74.99 L
2 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,638,"22,414",1.43 Cr
1 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,425,"21,591",91.55 L
2 BHK Apartment,Nrose Northern HillsDahisar,Dahisar,Mumbai,623,"21,669",1.35 Cr
2 BHK Apartment,BG Shirke Parijat Hill ViewBorivali East,Borivali East,Mumbai,501,"22,355",1.12 Cr
2 BHK Apartment,S Square Rudraksh Heritage Wing A And Wing BMulund West,Mulund West,Mumbai,771,"28,664",2.21 Cr
3 BHK Apartment,Arihant Clan Aalishan Phase 1Kharghar,Kharghar,Mumbai,938,"15,258",1.43 Cr
1 BHK Apartment,Shantee Sunshine Green ParkVasai,Vasai,Mumbai,287,"7,459",21.41 L
3 BHK Apartment,Paradise Sai World EmpireKharghar,Kharghar,Mumbai,2215,"11,422",2.53 Cr
3 BHK Apartment,Sanghvi InfeniaSantacruz East,Santacruz East,Mumbai,778,"41,773",3.24 Cr
3 BHK Apartment,RKR Precious ImperialAmbernath East,Ambernath East,Mumbai,821,"5,392",44.26 L
1 BHK Apartment,Om GM Thakur CityPalghar,Palghar,Mumbai,565,"3,292",18.6 L
1 BHK Apartment,Royal HeritageVangani,Vangani,Mumbai,395,"4,306",17.01 L
1 BHK Apartment,Sai Shree Sai WoodsPalghar,Palghar,Mumbai,590,"3,000",17.7 L
1 BHK Apartment,Shreedham SplendourAndheri West,Andheri West,Mumbai,230,"25,852",59.46 L
1 BHK Apartment,Gold Plaza Rangari HeightsMazagaon,Mazagaon,Mumbai,425,"36,705",1.56 Cr
1 BHK Apartment,V K LAL VKLAL VISHNU PHASE IDahisar,Dahisar,Mumbai,396,"16,498",65.33 L
2 BHK Apartment,Unimont AurumKarjat,Karjat,Mumbai,755,"4,304",32.5 L
2 BHK Apartment,Neelkanth Valley IIKhopoli,Khopoli,Mumbai,428,"7,827",33.49 L
1 BHK Apartment,KP KrishnaGoregaon East,Goregaon East,Mumbai,485,"29,007",1.4 Cr
1 BHK Apartment,Jindal AvenuePanvel,Panvel,Mumbai,261,"17,433",45.5 L
1 BHK Apartment,Kalyan ViharKalyan West,Kalyan West,Mumbai,477,"8,071",38.49 L
2 BHK Apartment,Arihant Arihant EnclaveAndheri East,Andheri East,Mumbai,655,"29,312",1.91 Cr
1 BHK Apartment,Bombay CastleDronagiri,Dronagiri,Mumbai,428,"8,294",35.5 L
2 BHK Apartment,Shakuntala Shree Puram TownshipUmroli,Umroli,Mumbai,950,"2,500",23.75 L
1 BHK Apartment,Viva VedantaVirar,Virar,Mumbai,527,"8,595",45.3 L
1 BHK Apartment,Parijas ZenithKalyan East,Kalyan East,Mumbai,500,"8,800",44 L
1 BHK Apartment,Sai Shrushti VatikaThane West,Thane West,Mumbai,409,"7,372",30.15 L
2 BHK Apartment,Qualitas La LuxuriaShahapur,Shahapur,Mumbai,653,"5,895",38.49 L
1 BHK Apartment,Vardhan HeightsChembur,Chembur,Mumbai,320,"21,844",69.9 L
3 BHK Apartment,Riddhi Siddhi ImperialTaloja,Taloja,Mumbai,928,"6,573",61 L
1 BHK Apartment,Kiran Mansarovar ResidencyDombivali,Dombivali,Mumbai,410,"9,268",38 L
1 BHK Apartment,Sudarshan Sudarshan Lands EndMalad West,Malad West,Mumbai,469,"19,190",90 L
1 BHK Apartment,Sai Buildcon Lake View HeightsVasai,Vasai,Mumbai,575,"4,782",27.5 L
1 RK Studio Apartment,Anant ResidencyPanvel,Panvel,Mumbai,263,"7,034",18.49 L
1 BHK Apartment,Space Eternia Space Karjat,Karjat,Mumbai,427,"5,929",25.31 L
1 BHK Apartment,Vaastu AdarshUlwe,Ulwe,Mumbai,590,"7,627",45 L
1,NA,Badlapur East,Mumbai,525,"4,380",23 L
1 BHK Apartment,Sadguru NakshtraTitwala,Titwala,Mumbai,442,"6,674",29.5 L
1 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,715,"5,523",39.49 L
2 BHK Apartment,Tajjodin Taj RegencyKamothe,Kamothe,Mumbai,628,"14,331",90 L
2 BHK Apartment,Raymond Raymond Realty TenX HabitatThane West,Thane West,Mumbai,515,"23,300",1.2 Cr
4 BHK Apartment,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,1300,"19,538",2.54 Cr
1 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,740,"5,200",38.48 L
1 BHK Apartment,Sri Garden Avenue KVirar,Virar,Mumbai,445,"7,674",34.14 L
1 BHK Apartment,Roswalt RayDahisar,Dahisar,Mumbai,410,"21,708",89 L
1 BHK Apartment,Labdhi GardensNeral,Neral,Mumbai,321,"6,199",19.89 L
2 BHK Apartment,Konark Zen GardensKandivali West,Kandivali West,Mumbai,644,"31,677",2.04 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,670,"22,500",1.5 Cr
2 BHK Apartment,Siddhivinayak AnayaDronagiri,Dronagiri,Mumbai,650,"8,923",57.99 L
3 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,1239,"38,461",4.76 Cr
2 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,542,"21,500",1.16 Cr
2 BHK Apartment,Luv Concept RiversideTaloja,Taloja,Mumbai,585,"7,265",42.5 L
1 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,343,"6,851",23.5 L
2 BHK Apartment,Romell AllureBorivali East,Borivali East,Mumbai,567,"25,573",1.45 Cr
2 BHK Apartment,Thanekar CivicBadlapur West,Badlapur West,Mumbai,520,"6,923",36 L
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,522,"25,692",1.34 Cr
3 BHK Apartment,SHREE KRISHNA SangamChembur,Chembur,Mumbai,917,"31,000",2.84 Cr
1 BHK Apartment,Ekdanta 24 KaratKurla,Kurla,Mumbai,476,"21,968",1.04 Cr
3 BHK Apartment,Liberty Bay VueMalad West,Malad West,Mumbai,999,"21,000",2.09 Cr
1 BHK Apartment,Thalia Vrindavan FloraRasayani,Rasayani,Mumbai,320,"8,830",28.25 L
1 BHK Apartment,Puraniks City Sector 1Neral,Neral,Mumbai,329,"5,775",19 L
2 BHK Apartment,Aplite Greenstone HeritageFort,Fort,Mumbai,739,"39,918",2.95 Cr
3 BHK Apartment,Mahaavir PrideDombivali,Dombivali,Mumbai,917,"10,359",95 L
2 BHK Apartment,Lalani Velentine Apartment 1 Wing DMalad East,Malad East,Mumbai,592,"22,800",1.34 Cr
2 BHK Apartment,A Plus Golden VanVangani,Vangani,Mumbai,489,"2,699",13.19 L
1 BHK Apartment,Royal PristoMalad East,Malad East,Mumbai,435,"23,218",1 Cr
2 BHK Apartment,Hirani Nehru Nagar Shree Ganesh Krupa CHS Ltd Bldg No 120Kurla,Kurla,Mumbai,540,"21,425",1.15 Cr
R,NA,kasaradavali thane west,Mumbai,1000,500,5 L
2 BHK Apartment,Sadguru NakshtraTitwala,Titwala,Mumbai,598,"6,605",39.5 L
1 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,699,"5,320",37.19 L
1 RK Studio Apartment,Nexus ParkDiva,Diva,Mumbai,465,"5,159",23.99 L
1 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,713,"5,328",37.99 L
1 BHK Apartment,Tajjodin Taj RegencyKamothe,Kamothe,Mumbai,515,"14,563",75 L
2 BHK Apartment,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,679,"18,262",1.24 Cr
3 BHK Apartment,Shree Krupa Nandanvan Homes Building BThane West,Thane West,Mumbai,887,"21,082",1.87 Cr
2 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1045,"5,200",54.34 L
1 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,690,"5,200",35.88 L
2 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1085,"5,200",56.42 L
2 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,1060,"5,200",55.12 L
1 BHK Apartment,Dev Drashti Empire Phase 1Bhiwandi,Bhiwandi,Mumbai,795,"5,200",41.34 L
2 BHK Apartment,Sri Garden Avenue KVirar,Virar,Mumbai,692,"7,659",53 L
1 BHK Apartment,Sri Garden Avenue KVirar,Virar,Mumbai,487,"7,597",36.99 L
1 BHK Apartment,Roswalt RayDahisar,Dahisar,Mumbai,440,"21,708",95.51 L
2 BHK Apartment,Roswalt RayDahisar,Dahisar,Mumbai,650,"22,400",1.45 Cr
2 BHK Apartment,Raymond Raymond Realty TenX HabitatThane West,Thane West,Mumbai,644,"23,913",1.54 Cr
2 BHK Apartment,Nexus ParkDiva,Diva,Mumbai,936,"5,501",51.49 L
1 RK Studio Apartment,Nexus ParkDiva,Diva,Mumbai,445,"5,166",22.99 L
1 BHK Apartment,Labdhi GardensNeral,Neral,Mumbai,408,"6,199",25.29 L
1 BHK Apartment,Konark Zen GardensKandivali West,Kandivali West,Mumbai,398,"32,663",1.3 Cr
2 BHK Apartment,Konark Zen GardensKandivali West,Kandivali West,Mumbai,632,"31,645",2 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,625,"22,500",1.4 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,580,"22,500",1.3 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,710,"22,500",1.59 Cr
2 BHK Apartment,Avant HillwayMalad East,Malad East,Mumbai,618,"22,500",1.39 Cr
2 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,770,"38,461",2.96 Cr
3 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,1232,"38,461",4.73 Cr
2 BHK Apartment,Kalpataru WoodsvillePowai,Powai,Mumbai,767,"38,461",2.94 Cr
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,374,"21,500",80.41 L
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,425,"21,500",91.37 L
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,416,"21,500",89.44 L
1 BHK Apartment,The Goyal Dinaco Darshan CHSLDahisar,Dahisar,Mumbai,438,"21,500",94.17 L
1 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,302,"7,052",21.3 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,514,"6,614",34 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,455,"6,483",29.5 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,651,"6,451",42 L
2 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,568,"7,086",40.25 L
1 BHK Apartment,Today Belantara Rasayani,Rasayani,Mumbai,421,"6,294",26.5 L
1 BHK Apartment,Thanekar CivicBadlapur West,Badlapur West,Mumbai,368,"6,793",25 L
2 BHK Apartment,Thanekar CivicBadlapur West,Badlapur West,Mumbai,485,"6,670",32.35 L
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,834,"25,692",2.14 Cr
2 BHK Apartment,RRB Satra HarmonyChembur,Chembur,Mumbai,841,"25,692",2.16 Cr
